City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
444,Carballo,ES,64.0,43.21,-8.69,Pazo do Souto
445,Nome,US,61.0,64.5,-165.41,Dredge 7 Inn
450,Rio Grande,BR,62.6,-32.03,-52.1,Swan Express Rio Grande
451,Chihuahua,MX,87.8,28.5,-106.0,
453,Enshi,CN,72.82,30.3,109.48,Moevenpick Enshi
454,Morant Bay,JM,88.0,17.88,-76.41,Whispering Bamboo Cove Resort
456,Finschhafen,PG,78.78,-6.6,147.87,Cossam Guest House
460,Suruc,TR,77.0,36.98,38.42,Kumbet Otel
462,Gurmatkal,IN,77.13,16.87,77.4,Patange Enterprises
463,Povoa De Varzim,PT,68.0,41.38,-8.76,Grande Hotel da Póvoa
466,Gorontalo,ID,75.18,0.54,123.06,Maqna Hotel by Prasanthi
467,Kirakira,SB,79.25,-10.45,161.92,SanBiz Lodge
468,Den Helder,NL,64.4,52.96,4.76,Hotel Den Helder
469,Hoima,UG,69.39,1.44,31.34,Tik Hotel
472,Gigmoto,PH,81.18,13.78,124.39,Cj's Travellers Inn
474,Santa Cruz,BO,84.2,-17.8,-63.17,Hotel Cortez
475,Honiara,SB,73.4,-9.43,159.95,Heritage Park Hotel
476,Cordoba,AR,72.0,-31.41,-64.18,Sheraton Cordoba Hotel
479,Iquitos,PE,87.8,-3.75,-73.25,Cortez Malaga Techy Caroly
481,Viedma,AR,60.8,-40.81,-63.0,Hotel Cristal
484,Antsohihy,MG,73.17,-14.88,47.99,Hotel de Ville
485,Tubuala,PA,82.0,9.52,-79.03,
487,Satwas,IN,84.85,22.53,76.68,मां नर्मदा स्टाम्प रजिस्ट्री कार्यालय
488,Bukama,CD,69.39,-9.2,25.85,
489,Terrace Bay,CA,66.2,48.78,-87.1,Drifters Motel & Restaurant
490,Lumphat,KH,74.59,13.49,106.98,Lumphat Homestay
491,Beinamar,TD,81.84,8.67,15.38,
493,Marsa Matruh,EG,73.4,31.35,27.25,Beau Site
494,Shieli,KZ,67.28,44.17,66.75,Gostinitsa Aybek Shieli
497,Sistranda,NO,62.6,63.73,8.83,Hotell Frøya
498,Acarau,BR,84.58,-2.89,-40.12,castelo pizzaria
500,Shelburne,CA,84.2,44.08,-80.2,The Retreat at the Farm
501,Karia,NG,92.75,11.73,11.16,
503,Keti Bandar,PK,85.87,24.14,67.45,Haji laloo memon house
505,Madang,PG,76.95,-5.22,145.8,Comfort Inn Hotel
506,Girne,CY,75.2,35.34,33.32,Lavanta Residence
507,Grand Junction,US,73.0,39.06,-108.55,Grand Junction Palomino Inn
510,Isangel,VU,72.18,-19.55,169.27,Volcano Sea View Tree House
511,Atar,MR,105.58,20.52,-13.05,Oumou Elghoura
512,Zhangye,CN,74.43,38.93,100.45,Zhangye Lvzhou Holiday Inn
513,Luangwa,ZM,63.54,-15.62,30.42,Gerasimos Safari Lodge
514,Srikakulam,IN,83.7,18.3,83.9,Sriram residency
515,Santiago Del Estero,AR,72.61,-27.8,-64.26,Hotel Urbano
517,Palmer,US,86.0,42.16,-72.33,Wedgewood Motel
520,Qeshm,IR,91.4,26.96,56.27,Kimia IV Hotel
522,Urumqi,CN,71.6,43.8,87.6,Hua Ling Grand Hotel Urumqi
523,Chuzhou,CN,72.0,32.32,118.3,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
526,Vanimo,PG,78.64,-2.67,141.3,Vahmoneh Lodge Vanimo
527,Goderich,CA,82.99,43.75,-81.72,Harmony Inn
528,Charleston,US,80.01,32.78,-79.93,French Quarter Inn
529,Buraydah,SA,96.8,26.33,43.98,Mövenpick Hotel Qassim
532,Los Llanos De Aridane,ES,75.2,28.66,-17.92,Valle Aridane
533,Lufilufi,WS,75.0,-13.87,-171.6,Leuaina Beach Resort and Spa
534,Karema,TZ,70.43,-6.82,30.44,
535,Yanam,IN,84.2,16.73,82.22,The Regency Hotel
537,Lake Charles,US,87.01,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
539,Morgan City,US,89.01,29.7,-91.21,Hampton Inn & Suites Morgan City
